Description,Description2,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID
Preferred Fwd W/trend Package,FWD w/Trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRTR,2026,Preferred,4,481447,Sport Utility
Preferred Fwd W/ultimate Package,FWD w/Ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUP,2026,Preferred,4,481448,Sport Utility
Preferred Fwd W/ultimate Package Two-Tone,FWD w/Ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,KEEW5ZE4PRUT,2026,Preferred,4,481449,Sport Utility
Preferred Trend Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,PACW8K3FPRTR,2026,Preferred Trend,4,480186,Sport Utility
Ultimate Calligraphy Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3FULCA,2026,Ultimate Calligraphy,4,480187,Sport Utility
Xrt Pro Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,PACW7K3FXP00,2026,XRT Pro,4,480188,Sport Utility
Luxury 8-Passenger Awd,8-Passenger AWD,ALL_WHEEL_DRIVE,HYUNDAI,PAHW8G2DLU8H,2026,Luxury,4,480297,Sport Utility
Luxury 7-Passenger Awd,7-Passenger AWD,ALL_WHEEL_DRIVE,HYUNDAI,PAHW7G2DLU7H,2026,Luxury,4,480298,Sport Utility
Ultimate Calligraphy Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,PAHW7G2DULCH,2026,Ultimate Calligraphy,4,480299,Sport Utility
Ultimate Calligraphy Nhl Special Edition Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,PAHW7G2DULCH,2026,Ultimate Calligraphy NHL Special Edition,4,481523,Sport Utility
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRHE,2026,Preferred,4,480189,Sport Utility
Preferred Awd W/trend Package,AWD w/Trend Pkg,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRTH,2026,Preferred,4,480190,Sport Utility
Luxury Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1ALUHE,2026,Luxury,4,480191,Sport Utility
Ultimate Calligraphy Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SAHW6G1AULBG,2026,Ultimate Calligraphy,4,480192,Sport Utility
Ultimate Calligraphy Awd W/beige,AWD w/Beige,ALL_WHEEL_DRIVE,HYUNDAI,SAHW6G1AULBH,2026,Ultimate Calligraphy,4,480193,Sport Utility
N-Line Fwd,FWD,FRONT_WHEEL_DRIVE,HYUNDAI,SOCS4M2DNL00,2026,N Line,4,480134,4dr Car
Preferred-Trend Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SOCS4K2EPRTR,2026,Preferred-Trend,4,480135,4dr Car
Preferred-Trend Fwd,Sedan,FRONT_WHEEL_DRIVE,HYUNDAI,SHHS4F2FPRTH,2026,Preferred-Trend,4,480136,4dr Car
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPR00,2026,Preferred,4,480578,Sport Utility
Preferred Awd W/trend Package,AWD w/Trend Pkg,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPRTR,2026,Preferred,4,480579,Sport Utility
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPM00,2026,Preferred,4,480580,Sport Utility
Preferred Awd W/trend Package,AWD w/Trend Pkg,ALL_WHEEL_DRIVE,HYUNDAI,TUCWDK2EPMTM,2026,Preferred,4,480581,Sport Utility
N-Line Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANLHE,2026,N-Line,4,480562,Sport Utility
Ultimate Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1AULHE,2026,Ultimate,4,480563,Sport Utility
Night Edition Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUHWDG1ANE00,2026,Night Edition,4,485675,Sport Utility
Ultimate Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,TUPWDG1AULPH,2026,Ultimate,4,480564,Sport Utility
Essential Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FES00,2026,Essential,4,480300,Sport Utility
Essential Ivt W/two-Tone,IVT w/Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FESTT,2026,Essential,4,480301,Sport Utility
Preferred Ivt,IVT,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPR00,2026,Preferred,4,480302,Sport Utility
Preferred Ivt W/two-Tone,IVT w/Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FPRTT,2026,Preferred,4,480303,Sport Utility
Ultimate Ivt W/black Interior,IVT w/Black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FUL00,2026,Ultimate,4,480304,Sport Utility
Ultimate Ivt W/denim Interior,IVT w/Denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,VNCW5V1FULCP,2026,Ultimate,4,480305,Sport Utility
Gx Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXXL84,2024,GX,4,447804,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXSL84,2024,GS,4,447805,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXTL84,2024,GT,4,447806,Sport Utility
Gt W/turbo Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXTM84,2024,GT w/Turbo,4,447807,Sport Utility
Suna Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXUM84,2024,Suna,4,447808,Sport Utility
Gx Awd *ltd Avail*,AWD,ALL_WHEEL_DRIVE,MAZDA,NXXN84,2024,GX,4,445370,Sport Utility
Gs Awd *ltd Avail*,AWD,ALL_WHEEL_DRIVE,MAZDA,NXSN84,2024,GS,4,445371,Sport Utility
Kuro Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXBN84,2024,Kuro,4,445372,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXTN84,2024,GT,4,445373,Sport Utility
Sport Design Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXDM84,2024,Sport Design,4,445374,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXKM84,2024,Signature,4,445375,Sport Utility
Suna Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXUM84,2024,Suna,4,445376,Sport Utility
Gx Awd W/o Cd,AWD w/o CD,ALL_WHEEL_DRIVE,MAZDA,NXXL84,2024,GX,4,451113,Sport Utility
Gs Awd W/o Cd,AWD w/o CD,ALL_WHEEL_DRIVE,MAZDA,NXSL84,2024,GS,4,451114,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,JXLN84,2024,GS-L,4,444168,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,JXTN84,2024,GT,4,444169,Sport Utility
Gt W/turbo Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,JXTM84,2024,GT w/Turbo,4,444170,Sport Utility
Meridian Edition Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,JXTM84,2024,Meridian Edition,4,444171,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXSF84,2024,GS,4,438890,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXLF84,2024,GS-L,4,438891,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXTF84,2024,GT,4,438892,Sport Utility
Gt-P Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXPG84,2024,GT-P,4,438893,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXKG84,2024,Signature,4,438894,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXSP84,2024,GS,4,438887,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXLP84,2024,GS-L,4,438888,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXTP84,2024,GT,4,438889,Sport Utility
Gx Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,DVXL84,2024,GX,4,444021,4dr Car
Gs Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,DVSL84,2024,GS,4,444022,4dr Car
Gt Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,DVTL84,2024,GT,4,444023,4dr Car
Gs Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXSL84,2024,GS,4,444024,4dr Car
Gt Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXTL84,2024,GT,4,444025,4dr Car
Gt W/turbo Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXTM84,2024,GT w/Turbo,4,444026,4dr Car
Gx Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVXL84,2024,GX,4,444918,4dr Car
Gs Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVSL84,2024,GS,4,444919,4dr Car
Gt Manual Fwd,Manual FWD,FRONT_WHEEL_DRIVE,MAZDA,SVTL64,2024,GT,4,444920,4dr Car
Gt Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVTL84,2024,GT,4,444921,4dr Car
Gs Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXSL84,2024,GS,4,444922,4dr Car
Gt Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXTL84,2024,GT,4,444923,4dr Car
Gt W/turbo Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXTM84,2024,GT w/Turbo,4,444924,4dr Car
Suna Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXUM84,2024,Suna,4,444925,4dr Car
Gs Fwd,FWD,FRONT_WHEEL_DRIVE,MAZDA,KVSB84,2024,GS,4,453513,Sport Utility
Gt Fwd,FWD,FRONT_WHEEL_DRIVE,MAZDA,KVTB84,2024,GT,4,453514,Sport Utility
Gs Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2SK64,2024,GS,2,453418,2dr Car
Gs-P Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2PK64,2024,GS-P,2,453419,2dr Car
Gs-P Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L2PK84,2024,GS-P,2,453420,2dr Car
Gt Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2TK64,2024,GT,2,453421,2dr Car
Gt Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L2TK84,2024,GT,2,453422,2dr Car
Gs-P Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L3PK64,2024,GS-P,2,453423,2dr Car
Gs-P Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L3PK84,2024,GS-P,2,453424,2dr Car
Gt Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L3TK64,2024,GT,2,453425,2dr Car
Gt Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L3TK84,2024,GT,2,453426,2dr Car
Gx Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXXL85,2025,GX,4,463053,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXSL85,2025,GS,4,463054,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXTL85,2025,GT,4,463055,Sport Utility
Gt W/turbo Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXTM85,2025,GT w/Turbo,4,463056,Sport Utility
Suna Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXUM85,2025,Suna,4,463057,Sport Utility
Gx Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXXL85,2025,GX,4,461688,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXSL85,2025,GS,4,461689,Sport Utility
Kuro Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXBN85,2025,Kuro,4,461690,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXTN85,2025,GT,4,461691,Sport Utility
Sport Design Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXDM85,2025,Sport Design,4,461692,Sport Utility
Suna Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXUM85,2025,Suna,4,461693,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXKM85,2025,Signature,4,461694,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,JXLN85,2025,GS-L,4,461996,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,JXTN85,2025,GT,4,461997,Sport Utility
Gt W/turbo Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,JXTM85,2025,GT w/Turbo,4,461998,Sport Utility
Meridian Edition Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,JXTM85,2025,Meridian Edition,4,461999,Sport Utility
Gs-L E-Awd,e-AWD,ALL_WHEEL_DRIVE,MAZDA,MXLH85,2025,GS-L,4,462388,Sport Utility
Kuro E-Awd,e-AWD,ALL_WHEEL_DRIVE,MAZDA,MXBH85,2025,Kuro,4,462389,Sport Utility
Gt E-Awd,e-AWD,ALL_WHEEL_DRIVE,MAZDA,MXTH85,2025,GT,4,462390,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,XXLF85,2025,GS-L,4,453634,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,XXTF85,2025,GT,4,453635,Sport Utility
Gt-P Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,XXPG85,2025,GT-P,4,453636,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,XXKG85,2025,Signature,4,453637,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,YXLP85,2025,GS-L,4,453632,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,YXTP85,2025,GT,4,453633,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXSF85,2025,GS,4,461802,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXLF85,2025,GS-L,4,461803,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXTF85,2025,GT,4,461804,Sport Utility
Gt-P Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXPG85,2025,GT-P,4,461805,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXKG85,2025,Signature,4,461806,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXSP85,2025,GS,4,461700,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXLP85,2025,GS-L,4,461701,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXTP85,2025,GT,4,461702,Sport Utility
Gx Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,DVXL85,2025,GX,4,461087,4dr Car
Gs Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,DVSL85,2025,GS,4,461088,4dr Car
Gt Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,DVTL85,2025,GT,4,461089,4dr Car
Gs Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXSL85,2025,GS,4,461090,4dr Car
Gt Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXTL85,2025,GT,4,461091,4dr Car
Gt W/turbo Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXTM85,2025,GT w/Turbo,4,461092,4dr Car
Gx Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVXL85,2025,GX,4,461093,4dr Car
Gs Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVSL85,2025,GS,4,461094,4dr Car
Gt Manual Fwd,Manual FWD,FRONT_WHEEL_DRIVE,MAZDA,SVTL65,2025,GT,4,461095,4dr Car
Gt Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVTL85,2025,GT,4,461096,4dr Car
Gs Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXSL85,2025,GS,4,461097,4dr Car
Gt Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXTL85,2025,GT,4,461098,4dr Car
Gt W/turbo Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXTM85,2025,GT w/Turbo,4,461099,4dr Car
Suna Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXUM85,2025,Suna,4,461100,4dr Car
Gs Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2SK65,2025,GS,2,470171,2dr Car
Gs-P Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2PK65,2025,GS-P,2,470172,2dr Car
Gs-P Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L2PK85,2025,GS-P,2,470173,2dr Car
Gt Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2TK65,2025,GT,2,470174,2dr Car
Gt Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L2TK85,2025,GT,2,470175,2dr Car
35th Anniversary Edition Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2EK65,2025,35th Anniversary Edition,2,470780,2dr Car
Gs-P Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L3PK65,2025,GS-P,2,469862,2dr Car
Gs-P Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L3PK85,2025,GS-P,2,469863,2dr Car
Gt Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L3TK65,2025,GT,2,469864,2dr Car
Gt Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L3TK85,2025,GT,2,469865,2dr Car
Gx Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXXL86,2026,GX,4,483015,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXSL86,2026,GS,4,483016,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXTL86,2026,GT,4,483017,Sport Utility
Gt W/turbo Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,ZXTM86,2026,GT w/Turbo,4,483018,Sport Utility
Gx Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXXL86,2026,GX,4,483282,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXSL86,2026,GS,4,483283,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,NXTL86,2026,GT,4,483284,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,XXLF86,2026,GS-L,4,483075,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,XXTF86,2026,GT,4,483076,Sport Utility
Gt-P Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,XXPG86,2026,GT-P,4,483077,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,XXKG86,2026,Signature,4,483078,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,YXTP86,2026,GT,4,483123,Sport Utility
Gs Sc Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,YXCP86,2026,GS SC,4,483124,Sport Utility
Gs-L Sc Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,YXHP86,2026,GS-L SC,4,483125,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,YXKP86,2026,Signature,4,483126,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXSF86,2026,GS,4,483114,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXLF86,2026,GS-L,4,483115,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXTF86,2026,GT,4,483116,Sport Utility
Gt-P Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXPG86,2026,GT-P,4,483117,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,WXKG86,2026,Signature,4,483118,Sport Utility
Gs Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXSP86,2026,GS,4,483119,Sport Utility
Gs-L Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXLP86,2026,GS-L,4,483120,Sport Utility
Gt Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXTP86,2026,GT,4,483121,Sport Utility
Signature Awd,AWD,ALL_WHEEL_DRIVE,MAZDA,VXKP86,2026,Signature,4,483122,Sport Utility
Gx Fwd,FWD,FRONT_WHEEL_DRIVE,MAZDA,DVXL86,2026,GX,4,483005,4dr Car
Gs Fwd,FWD,FRONT_WHEEL_DRIVE,MAZDA,DVSL86,2026,GS,4,483006,4dr Car
Gt Fwd,FWD,FRONT_WHEEL_DRIVE,MAZDA,DVTL86,2026,GT,4,483007,4dr Car
Gs Awd,i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXSL86,2026,GS,4,483008,4dr Car
Gt Awd,i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXTL86,2026,GT,4,483009,4dr Car
Gt W/turbo Awd,i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,DXTM86,2026,GT w/Turbo,4,483010,4dr Car
Gx Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVXL86,2026,GX,4,483028,4dr Car
Gs Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVSL86,2026,GS,4,483029,4dr Car
Gt Manual Fwd,Manual FWD,FRONT_WHEEL_DRIVE,MAZDA,SVTL66,2026,GT,4,483030,4dr Car
Gt Auto Fwd,Auto FWD,FRONT_WHEEL_DRIVE,MAZDA,SVTL86,2026,GT,4,483031,4dr Car
Gs Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXSL86,2026,GS,4,483032,4dr Car
Gt Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXTL86,2026,GT,4,483033,4dr Car
Gt W/turbo Auto Awd,Auto i-ACTIV AWD,ALL_WHEEL_DRIVE,MAZDA,SXTM86,2026,GT w/Turbo,4,483034,4dr Car
Gs Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2SK66,2026,GS,2,483880,2dr Car
Gs-P Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2PK66,2026,GS-P,2,483881,2dr Car
Gs-P Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L2PK86,2026,GS-P,2,483882,2dr Car
Gt Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L2TK66,2026,GT,2,483883,2dr Car
Gt Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L2TK86,2026,GT,2,483884,2dr Car
Gs-P Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L3PK66,2026,GS-P,2,483885,2dr Car
Gs-P Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L3PK86,2026,GS-P,2,483886,2dr Car
Gt Manual,Manual,REAR_WHEEL_DRIVE,MAZDA,L3TK66,2026,GT,2,483887,2dr Car
Gt Auto,Auto,REAR_WHEEL_DRIVE,MAZDA,L3TK86,2026,GT,2,483888,2dr Car
Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G8ES4ZE1GP00,2024,,4,450310,4dr Car
Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7EW5ZE1GP00,2024,Prestige,4,447828,Sport Utility
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K2DGA00,2024,2.5T Advanced,4,452610,4dr Car
2.5t Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K2DGP00,2024,2.5T Prestige,4,452611,4dr Car
3.3t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K3AGA00,2024,3.3T Advanced,4,452612,4dr Car
3.3t Sport Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G7CS4K3AGS00,2024,3.3T Sport,4,452613,4dr Car
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G8CS4K2DGA00,2024,2.5T Advanced,4,444087,4dr Car
3.5t Sport Plus Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G8CS4K3BGSAU,2024,3.5T Sport Plus,4,444088,4dr Car
E-Sc Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,G9CS4K3BXXPS,2024,e-SC Prestige,4,450256,4dr Car
Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE227AD,2024,Advanced,4,444967,Sport Utility
Performance Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE127AR,2024,Performance,4,444968,Sport Utility
Performance Awd W/navy Interior,AWD w/Navy Interior,ALL_WHEEL_DRIVE,GENESIS,V6EW5ZE127PF,2024,Performance,4,444969,Sport Utility
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2D27AD,2024,2.5T Advanced,4,447829,Sport Utility
2.5t Advanced Plus Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2DGAAU,2024,2.5T Advanced Plus,4,447830,Sport Utility
2.5t Prestige Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K2DGP00,2024,2.5T Prestige,4,447831,Sport Utility
3.5t Sport Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K3BGS00,2024,3.5T Sport,4,447832,Sport Utility
3.5t Sport Plus Without Lsd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K3BGSAF,2024,3.5T Sport Plus w/o LSD,4,447833,Sport Utility
3.5t Sport Plus With-Lsd,AWD,ALL_WHEEL_DRIVE,GENESIS,V7CW5K3BGSBE,2024,3.5T Sport Plus w/LSD,4,447834,Sport Utility
2.5t Advanced Awd,AWD,ALL_WHEEL_DRIVE,GENESIS,V8CW5K2DGA00,2024,2.5T Advanced,4,438592,Sport Utility
3.5t Prestige Awd 5-Passenger,AWD 5P,ALL_WHEEL_DRIVE,GENESIS,V8CW5K3BGPAM,2024,3.5T Prestige,4,438593,Sport Utility
3.5t Prestige Awd 5-Passenger W/matte Paint,AWD 5P w/Matte Paint,ALL_WHEEL_DRIVE,GENESIS,V8CW5K3BGPAP,2024,3.5T Prestige,4,438594,Sport Utility
3.5t Prestige Awd 7-Passenger,AWD 7P,ALL_WHEEL_DRIVE,GENESIS,V8CW7K3BGP00,2024,3.5T Prestige,4,438595,Sport Utility
3.5t Prestige Awd 7-Passenger W/matte Paint,AWD 7P w/Matte Paint,ALL_WHEEL_DRIVE,GENESIS,V8CW7K3BGPAO,2024,3.5T Prestige,4,438596,Sport Utility
3.5t Advanced Awd 5-Passenger,AWD 5P,ALL_WHEEL_DRIVE,GENESIS,V8CW5K3BGAAX,2024,3.5T Advanced,4,438597,Sport Utility
