Description,Description2,Drivetrain,Manufacturer,ModelNumber,ModelYear,Package,PassDoors,StyleID,Style_ID
Preferred Awd *ltd Avail*,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPR00,2024,Preferred,4,445090,Crew Cab Pickup
Trend Awd *ltd Avail*,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRTR,2024,Trend,4,445091,Crew Cab Pickup
Ultimate Awd *ltd Avail*,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL00,2024,Ultimate,4,445092,Crew Cab Pickup
Ultimate Awd W/colour Package *ltd Avail*,AWD w/Colour Pkg,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DUL95,2024,Ultimate,4,445093,Crew Cab Pickup
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRBB,2024,Preferred,4,452018,Crew Cab Pickup
Trend Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DPRBC,2024,Trend,4,452019,Crew Cab Pickup
Ultimate Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DULBB,2024,Ultimate,4,452020,Crew Cab Pickup
Ultimate Awd W/colour Package,AWD w/Colour Pkg,ALL_WHEEL_DRIVE,HYUNDAI,SZCP5N2DULBD,2024,Ultimate,4,452021,Crew Cab Pickup
Ultimate Calligraphy Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBG,2024,Ultimate Calligraphy,4,454772,Sport Utility
Xrt Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DXR00,2024,XRT,4,454773,Sport Utility
Luxury Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SACW7N2DLU00,2024,Luxury,4,454774,Sport Utility
Ultimate Calligraphy Awd W/beige Interior,AWD w/Beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,SACW6N2DULBH,2024,Ultimate Calligraphy,4,454775,Sport Utility
Preferred Awd,AWD,ALL_WHEEL_DRIVE,HYUNDAI,SAHW7G1APRHE,2024,Preferred,4,454776,Sport Utility
