Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA25D469,2023,431802,4,Ultimate Calligraphy
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA16G3AA,2023,431803,4,Luxury
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,SA4SAA16J3AB,2023,431805,4,Luxury
2.5l Preferred,FRONT_WHEEL_DRIVE,HYUNDAI,,SO84AF25B200,2023,431795,4,Preferred
1.6t Sport,FRONT_WHEEL_DRIVE,HYUNDAI,,SO84AF16DS00,2023,431796,4,Sport
2.5t N-Line,FRONT_WHEEL_DRIVE,HYUNDAI,,SO84DF25DO00,2023,431797,4,N Line
Ultimate Sedan,FRONT_WHEEL_DRIVE,HYUNDAI,,SH84AF20I4AA,2023,431798,4,Ultimate
Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,TU4SAF25B100,2023,432184,4,Essential
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,,TU4SAF25B200,2023,432185,4,Preferred
Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25B100,2023,432186,4,Essential
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25B200,2023,432187,4,Preferred
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25B241,2023,432188,4,Preferred
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25BO00,2023,432189,4,N Line
Urban Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA25BY00,2023,432190,4,Urban Edition
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA16G3AA,2023,432191,4,Luxury
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA16G4AA,2023,432192,4,Ultimate
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA16J3AB,2023,432193,4,Luxury
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,,TU4SAA16J4AB,2023,432194,4,Ultimate
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A100,2023,432776,4,Essential
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,,VN1SIF16A166,2023,432777,4,Essential
