Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName,engine_type
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BES00,2026,481251,4,Essential,
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BPR00,2026,481252,4,Preferred,
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BPRTE,2026,481253,4,Preferred,
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BLU00,2026,481254,4,Luxury,
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BLUME,2026,481255,4,Luxury,
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4U1ANLUL,2026,481256,4,N Line Ultimate,
Luxury Sedan,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra Hybrid,ELHS4T1BLUHE,2026,481260,4,Luxury,hybrid
Luxury Sedan W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra Hybrid,ELHS4T1BLUHM,2026,481261,4,Luxury,hybrid
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra N,ELCS472ANN00,2026,480293,4,,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra N,ELCS4M2ANN00,2026,480294,4,,
Tcr Manual,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra N,ELCS472ANNTC,2026,480295,4,TCR,
Tcr Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra N,ELCS4M2ANNTC,2026,480296,4,TCR,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE4PRLR,2026,480462,4,Preferred,
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRLR,2026,480463,4,Preferred,
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRUP,2026,480464,4,Preferred,
Essential Rwd,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW7ZE4ES00,2026,476069,4,Essential,
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW7ZE2PR00,2026,476070,4,Preferred,
Preferred Awd W/luxury Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW7ZE2PRLP,2026,476071,4,Preferred,
Preferred + Awd W/ultimate Calligraphy Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW6ZE1PRBG,2026,476072,4,Preferred +,
Preferred + Awd,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 9,I9EW7ZE1PR00,2026,477563,4,Preferred +,
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5V2BES00,2026,479275,4,Essential,
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5V2BPR00,2026,479276,4,Preferred,
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BES00,2026,479277,4,Essential,
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BPR00,2026,479278,4,Preferred,
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BPRTR,2026,479279,4,Preferred,
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANL00,2026,479280,4,N Line,
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLTT,2026,479281,4,N Line,
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLUL,2026,479282,4,N Line Ultimate,
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLBA,2026,479283,4,N Line Ultimate,
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PR00,2026,481446,4,Preferred,electric
Preferred Fwd W/trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRTR,2026,481447,4,Preferred,electric
Preferred Fwd W/ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRUP,2026,481448,4,Preferred,electric
Preferred Fwd W/ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRUT,2026,481449,4,Preferred,electric
Preferred Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW8K3FPRTR,2026,480186,4,Preferred Trend,
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3FULCA,2026,480187,4,Ultimate Calligraphy,
Xrt Pro Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3FXP00,2026,480188,4,XRT Pro,
Luxury 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade Hybrid,PAHW8G2DLU8H,2026,480297,4,Luxury,hybrid
Luxury 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade Hybrid,PAHW7G2DLU7H,2026,480298,4,Luxury,hybrid
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade Hybrid,PAHW7G2DULCH,2026,480299,4,Ultimate Calligraphy,hybrid
Ultimate Calligraphy Nhl Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade Hybrid,PAHW7G2DULCH,2026,481523,4,Ultimate Calligraphy NHL Special Edition,hybrid
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW7G1APRHE,2026,480189,4,Preferred,hybrid
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW7G1APRTH,2026,480190,4,Preferred,hybrid
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW7G1ALUHE,2026,480191,4,Luxury,hybrid
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW6G1AULBG,2026,480192,4,Ultimate Calligraphy,hybrid
Ultimate Calligraphy Awd W/beige,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW6G1AULBH,2026,480193,4,Ultimate Calligraphy,hybrid
N-Line Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Sonata,SOCS4M2DNL00,2026,480134,4,N Line,
Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,Sonata,SOCS4K2EPRTR,2026,480135,4,Preferred-Trend,
Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Sonata Hybrid,SHHS4F2FPRTH,2026,480136,4,Preferred-Trend,hybrid
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPR00,2026,480578,4,Preferred,
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPRTR,2026,480579,4,Preferred,
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPM00,2026,480580,4,Preferred,
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPMTM,2026,480581,4,Preferred,
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1ANLHE,2026,480562,4,N-Line,hybrid
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1AULHE,2026,480563,4,Ultimate,hybrid
Night Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1ANE00,2026,485675,4,Night Edition,hybrid
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Plug-In Hybrid,TUPWDG1AULPH,2026,480564,4,Ultimate,hybrid
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FES00,2026,480300,4,Essential,
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FESTT,2026,480301,4,Essential,
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FPR00,2026,480302,4,Preferred,
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FPRTT,2026,480303,4,Preferred,
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FUL00,2026,480304,4,Ultimate,
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FULCP,2026,480305,4,Ultimate,
