Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName,engine_type
Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Sonata Hybrid,SHHS4F2FPRTH,2026,480136,4,Preferred-Trend,hybrid
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPR00,2026,480578,4,Preferred,
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPRTR,2026,480579,4,Preferred,
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPM00,2026,480580,4,Preferred,
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPMTM,2026,480581,4,Preferred,
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1ANLHE,2026,480562,4,N-Line,hybrid
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1AULHE,2026,480563,4,Ultimate,hybrid
Night Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1ANE00,2026,485675,4,Night Edition,hybrid
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Plug-In Hybrid,TUPWDG1AULPH,2026,480564,4,Ultimate,hybrid
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FES00,2026,480300,4,Essential,
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FESTT,2026,480301,4,Essential,
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FPR00,2026,480302,4,Preferred,
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FPRTT,2026,480303,4,Preferred,
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FUL00,2026,480304,4,Ultimate,
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FULCP,2026,480305,4,Ultimate,
Awd,ALL_WHEEL_DRIVE,GENESIS,Electrified G80,G8ES4ZE1GP00,2024,450310,4,,electrified
Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,Electrified GV70,V7EW5ZE1GP00,2024,447828,4,Prestige,electrified
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K2DGA00,2024,452610,4,2.5T Advanced,2.5t
2.5t Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K2DGP00,2024,452611,4,2.5T Prestige,2.5t
3.3t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K3AGA00,2024,452612,4,3.3T Advanced,3.3t
3.3t Sport Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K3AGS00,2024,452613,4,3.3T Sport,3.3t
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,G80,G8CS4K2DGA00,2024,444087,4,2.5T Advanced,2.5t
3.5t Sport Plus Awd,ALL_WHEEL_DRIVE,GENESIS,G80,G8CS4K3BGSAU,2024,444088,4,3.5T Sport Plus,3.5t
E-Sc Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,G90,G9CS4K3BXXPS,2024,450256,4,e-SC Prestige,e-sc
Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE227AD,2024,444967,4,Advanced,
Performance Awd,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE127AR,2024,444968,4,Performance,
Performance Awd W/navy Interior,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE127PF,2024,444969,4,Performance,
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2D27AD,2024,447829,4,2.5T Advanced,2.5t
2.5t Advanced Plus Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2DGAAU,2024,447830,4,2.5T Advanced Plus,2.5t
2.5t Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2DGP00,2024,447831,4,2.5T Prestige,2.5t
3.5t Sport Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGS00,2024,447832,4,3.5T Sport,3.5t
3.5t Sport Plus Without Lsd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGSAF,2024,447833,4,3.5T Sport Plus w/o LSD,3.5t
3.5t Sport Plus With-Lsd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGSBE,2024,447834,4,3.5T Sport Plus w/LSD,3.5t
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K2DGA00,2024,438592,4,2.5T Advanced,2.5t
3.5t Prestige Awd 5-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K3BGPAM,2024,438593,4,3.5T Prestige,3.5t
3.5t Prestige Awd 5-Passenger W/matte Paint,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K3BGPAP,2024,438594,4,3.5T Prestige,3.5t
3.5t Prestige Awd 7-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGP00,2024,438595,4,3.5T Prestige,3.5t
3.5t Prestige Awd 7-Passenger W/matte Paint,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGPAO,2024,438596,4,3.5T Prestige,3.5t
3.5t Advanced Awd 5-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K3BGAAX,2024,438597,4,3.5T Advanced,3.5t
3.5t Advanced Awd 5-Passenger W/matte Paint,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K3BGAAY,2024,438598,4,3.5T Advanced,3.5t
Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,Electrified GV70,V7EW5ZE1GP00,2025,463311,4,Prestige,electrified
Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,Electrified GV70,V7EW5ZE1GA00,2025,463312,4,Advanced,electrified
Advanced Plus Awd,ALL_WHEEL_DRIVE,GENESIS,Electrified GV70,V7EW5ZE1GAAU,2025,463313,4,Advanced Plus,electrified
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K2DGA00,2025,455533,4,2.5T Advanced,2.5t
2.5t Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K2DGP00,2025,455534,4,2.5T Prestige,2.5t
3.3t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K3AGA00,2025,455535,4,3.3T Advanced,3.3t
3.3t Sport Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K3AGS00,2025,455536,4,3.3T Sport,3.3t
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,G80,G8CS4K2DGA00,2025,466610,4,2.5T Advanced,2.5t
3.5t Sport Plus Awd,ALL_WHEEL_DRIVE,GENESIS,G80,G8CS4K3BGSAU,2025,466611,4,3.5T Sport Plus,3.5t
E-Sc Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,G90,G9CS4K3BXXPS,2025,463358,4,e-SC Prestige,e-sc
Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE227AD,2025,461704,4,Advanced,
Performance Awd,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE127AR,2025,461705,4,Performance,
Performance Awd W/navy Interior,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE127PF,2025,461706,4,Performance,
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2D27AD,2025,455516,4,2.5T Advanced,2.5t
2.5t Advanced Plus Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2DGAAU,2025,455517,4,2.5T Advanced Plus,2.5t
2.5t Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2DGP00,2025,455518,4,2.5T Prestige,2.5t
3.5t Sport Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGS00,2025,455519,4,3.5T Sport,3.5t
3.5t Sport Plus With-Lsd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGSBE,2025,455520,4,3.5T Sport Plus w/LSD,3.5t
2.5t Advanced Awd 5-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K2DGA00,2025,459749,4,2.5T Advanced,2.5t
3.5t Advanced With-Technology Package Awd 7-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGA55,2025,459750,4,3.5T Advanced,3.5t
3.5t Prestige Awd 7-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGP00,2025,459751,4,3.5T Prestige,3.5t
2.5t Advanced With-Technology Package Awd 5-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K2DGA55,2025,459752,4,2.5T Advanced,2.5t
3.5t E-Sc Awd,ALL_WHEEL_DRIVE,GENESIS,GV80 Coupe,V8CC7K3BGP00,2025,460325,4,3.5T e-SC,3.5t
Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,Electrified GV70,V7EW5ZE1GA00,2026,481478,4,Advanced,electrified
Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,Electrified GV70,V7EW5ZE1GP00,2026,481479,4,Prestige,electrified
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K2DGA00,2026,475088,4,2.5T Advanced,2.5t
2.5t Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K2DGP00,2026,475089,4,2.5T Prestige,2.5t
3.3t Sport Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K3AGS00,2026,475090,4,3.3T Sport,3.3t
3.3t Graphite Special-Edition Edition Awd,ALL_WHEEL_DRIVE,GENESIS,G70,G7CS4K3AGSGR,2026,484079,4,3.3T Graphite Special Edition,3.3t
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,G80,G8CS4K2DGA00,2026,479262,4,2.5T Advanced,2.5t
3.5t Sport Awd,ALL_WHEEL_DRIVE,GENESIS,G80,G8CS4K3BGS00,2026,479263,4,3.5T Sport,3.5t
3.5t Prestige Black-Package Awd,ALL_WHEEL_DRIVE,GENESIS,G80,G8CS4K3BGPBL,2026,479264,4,3.5T Prestige Black,3.5t
E-Sc Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,G90,G9CS4K3BGP00,2026,479289,4,e-SC Prestige,e-sc
E-Sc Prestige Ash Wood Awd,ALL_WHEEL_DRIVE,GENESIS,G90,G9CS4K3BGPAW,2026,479290,4,e-SC Prestige Ash Wood,e-sc
E-Sc Prestige Black-Package Awd,ALL_WHEEL_DRIVE,GENESIS,G90,G9CS4K3BGPBL,2026,479291,4,e-SC Prestige Black,e-sc
Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE2GWAE,2026,481700,4,Advanced,
Awd *ltd Avail*,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE2GW00,2026,481701,4,,
+ Awd *ltd Avail*,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE1GZ00,2026,481702,4,+,
Sport Awd,ALL_WHEEL_DRIVE,GENESIS,GV60,V6EW5ZE1GZSP,2026,481703,4,Sport,
2.5t Advanced Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2DGA00,2026,470386,4,2.5T Advanced,2.5t
2.5t Advanced Technology Package Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2DGA55,2026,470387,4,2.5T Advanced Technology Package,2.5t
2.5t Prestige Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K2DGP00,2026,470388,4,2.5T Prestige,2.5t
3.5t Sport Quilting Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGS00,2026,470389,4,3.5T Sport Quilting,3.5t
3.5t Sport Suede Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGSAU,2026,473370,4,3.5T Sport Suede,3.5t
2.5t Advanced Awd 5-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K2DGA00,2026,479284,4,2.5T Advanced,2.5t
2.5t Advanced With-Technology Package Awd 5-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K2DGA55,2026,479285,4,2.5T Advanced,2.5t
3.5t Advanced With-Technology Package Awd 7-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGA55,2026,479286,4,3.5T Advanced,3.5t
3.5t Prestige Awd 7-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGP00,2026,479287,4,3.5T Prestige,3.5t
3.5t Prestige Awd 7-Passenger Black-Package,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGPBL,2026,479288,4,3.5T Prestige Black,3.5t
3.5t E-Sc Awd,ALL_WHEEL_DRIVE,GENESIS,GV80 Coupe,V8CC7K3BGP00,2026,479433,4,3.5T e-SC,3.5t
3.5t E-Sc Prestige Black-Package Awd,ALL_WHEEL_DRIVE,GENESIS,GV80 Coupe,V8CC7K3BGPBL,2026,479434,4,3.5T e-SC Prestige Black,3.5t
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXXL84,2024,447804,4,GX,
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXSL84,2024,447805,4,GS,
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXTL84,2024,447806,4,GT,
Gt W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXTM84,2024,447807,4,GT w/Turbo,
Suna Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXUM84,2024,447808,4,Suna,
Gx Awd *ltd Avail*,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXXN84,2024,445370,4,GX,
Gs Awd *ltd Avail*,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXSN84,2024,445371,4,GS,
Kuro Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXBN84,2024,445372,4,Kuro,
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXTN84,2024,445373,4,GT,
Sport Design Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXDM84,2024,445374,4,Sport Design,
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXKM84,2024,445375,4,Signature,
Suna Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXUM84,2024,445376,4,Suna,
Gx Awd W/o Cd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXXL84,2024,451113,4,GX,
Gs Awd W/o Cd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXSL84,2024,451114,4,GS,
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50,JXLN84,2024,444168,4,GS-L,
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50,JXTN84,2024,444169,4,GT,
Gt W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50,JXTM84,2024,444170,4,GT w/Turbo,
Meridian Edition Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50,JXTM84,2024,444171,4,Meridian Edition,
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXSF84,2024,438890,4,GS,ev
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXLF84,2024,438891,4,GS-L,ev
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXTF84,2024,438892,4,GT,ev
Gt-P Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXPG84,2024,438893,4,GT-P,ev
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXKG84,2024,438894,4,Signature,ev
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 PHEV,VXSP84,2024,438887,4,GS,ev
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 PHEV,VXLP84,2024,438888,4,GS-L,ev
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 PHEV,VXTP84,2024,438889,4,GT,ev
Gx Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3,DVXL84,2024,444021,4,GX,
Gs Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3,DVSL84,2024,444022,4,GS,
Gt Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3,DVTL84,2024,444023,4,GT,
Gs Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3,DXSL84,2024,444024,4,GS,
Gt Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3,DXTL84,2024,444025,4,GT,
Gt W/turbo Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3,DXTM84,2024,444026,4,GT w/Turbo,
Gx Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SVXL84,2024,444918,4,GX,
Gs Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SVSL84,2024,444919,4,GS,
Gt Manual Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SVTL64,2024,444920,4,GT,
Gt Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SVTL84,2024,444921,4,GT,
Gs Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SXSL84,2024,444922,4,GS,
Gt Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SXTL84,2024,444923,4,GT,
Gt W/turbo Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SXTM84,2024,444924,4,GT w/Turbo,
Suna Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SXUM84,2024,444925,4,Suna,
Gs Fwd,FRONT_WHEEL_DRIVE,MAZDA,MX-30 EV,KVSB84,2024,453513,4,GS,ev
Gt Fwd,FRONT_WHEEL_DRIVE,MAZDA,MX-30 EV,KVTB84,2024,453514,4,GT,ev
Gs Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2SK64,2024,453418,2,GS,
Gs-P Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2PK64,2024,453419,2,GS-P,
Gs-P Auto,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2PK84,2024,453420,2,GS-P,
Gt Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2TK64,2024,453421,2,GT,
Gt Auto,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2TK84,2024,453422,2,GT,
Gs-P Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5 RF,L3PK64,2024,453423,2,GS-P,
Gs-P Auto,REAR_WHEEL_DRIVE,MAZDA,MX-5 RF,L3PK84,2024,453424,2,GS-P,
Gt Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5 RF,L3TK64,2024,453425,2,GT,
Gt Auto,REAR_WHEEL_DRIVE,MAZDA,MX-5 RF,L3TK84,2024,453426,2,GT,
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXXL85,2025,463053,4,GX,
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXSL85,2025,463054,4,GS,
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXTL85,2025,463055,4,GT,
Gt W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXTM85,2025,463056,4,GT w/Turbo,
Suna Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXUM85,2025,463057,4,Suna,
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXXL85,2025,461688,4,GX,
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXSL85,2025,461689,4,GS,
Kuro Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXBN85,2025,461690,4,Kuro,
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXTN85,2025,461691,4,GT,
Sport Design Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXDM85,2025,461692,4,Sport Design,
Suna Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXUM85,2025,461693,4,Suna,
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXKM85,2025,461694,4,Signature,
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50,JXLN85,2025,461996,4,GS-L,
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50,JXTN85,2025,461997,4,GT,
Gt W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50,JXTM85,2025,461998,4,GT w/Turbo,
Meridian Edition Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50,JXTM85,2025,461999,4,Meridian Edition,
Gs-L E-Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50 Hybrid,MXLH85,2025,462388,4,GS-L,hybrid
Kuro E-Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50 Hybrid,MXBH85,2025,462389,4,Kuro,hybrid
Gt E-Awd,ALL_WHEEL_DRIVE,MAZDA,CX-50 Hybrid,MXTH85,2025,462390,4,GT,hybrid
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 MHEV,XXLF85,2025,453634,4,GS-L,ev
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 MHEV,XXTF85,2025,453635,4,GT,ev
Gt-P Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 MHEV,XXPG85,2025,453636,4,GT-P,ev
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 MHEV,XXKG85,2025,453637,4,Signature,ev
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 PHEV,YXLP85,2025,453632,4,GS-L,ev
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 PHEV,YXTP85,2025,453633,4,GT,ev
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXSF85,2025,461802,4,GS,ev
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXLF85,2025,461803,4,GS-L,ev
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXTF85,2025,461804,4,GT,ev
Gt-P Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXPG85,2025,461805,4,GT-P,ev
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 MHEV,WXKG85,2025,461806,4,Signature,ev
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 PHEV,VXSP85,2025,461700,4,GS,ev
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 PHEV,VXLP85,2025,461701,4,GS-L,ev
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-90 PHEV,VXTP85,2025,461702,4,GT,ev
Gx Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3,DVXL85,2025,461087,4,GX,
Gs Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3,DVSL85,2025,461088,4,GS,
Gt Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3,DVTL85,2025,461089,4,GT,
Gs Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3,DXSL85,2025,461090,4,GS,
Gt Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3,DXTL85,2025,461091,4,GT,
Gt W/turbo Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3,DXTM85,2025,461092,4,GT w/Turbo,
Gx Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SVXL85,2025,461093,4,GX,
Gs Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SVSL85,2025,461094,4,GS,
Gt Manual Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SVTL65,2025,461095,4,GT,
Gt Auto Fwd,FRONT_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SVTL85,2025,461096,4,GT,
Gs Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SXSL85,2025,461097,4,GS,
Gt Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SXTL85,2025,461098,4,GT,
Gt W/turbo Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SXTM85,2025,461099,4,GT w/Turbo,
Suna Auto Awd,ALL_WHEEL_DRIVE,MAZDA,Mazda3 Sport,SXUM85,2025,461100,4,Suna,
Gs Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2SK65,2025,470171,2,GS,
Gs-P Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2PK65,2025,470172,2,GS-P,
Gs-P Auto,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2PK85,2025,470173,2,GS-P,
Gt Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2TK65,2025,470174,2,GT,
Gt Auto,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2TK85,2025,470175,2,GT,
35th Anniversary Edition Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5,L2EK65,2025,470780,2,35th Anniversary Edition,
Gs-P Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5 RF,L3PK65,2025,469862,2,GS-P,
Gs-P Auto,REAR_WHEEL_DRIVE,MAZDA,MX-5 RF,L3PK85,2025,469863,2,GS-P,
Gt Manual,REAR_WHEEL_DRIVE,MAZDA,MX-5 RF,L3TK65,2025,469864,2,GT,
Gt Auto,REAR_WHEEL_DRIVE,MAZDA,MX-5 RF,L3TK85,2025,469865,2,GT,
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXXL86,2026,483015,4,GX,
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXSL86,2026,483016,4,GS,
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXTL86,2026,483017,4,GT,
Gt W/turbo Awd,ALL_WHEEL_DRIVE,MAZDA,CX-30,ZXTM86,2026,483018,4,GT w/Turbo,
Gx Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXXL86,2026,483282,4,GX,
Gs Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXSL86,2026,483283,4,GS,
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-5,NXTL86,2026,483284,4,GT,
Gs-L Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 MHEV,XXLF86,2026,483075,4,GS-L,ev
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 MHEV,XXTF86,2026,483076,4,GT,ev
Gt-P Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 MHEV,XXPG86,2026,483077,4,GT-P,ev
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 MHEV,XXKG86,2026,483078,4,Signature,ev
Gt Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 PHEV,YXTP86,2026,483123,4,GT,ev
Gs Sc Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 PHEV,YXCP86,2026,483124,4,GS SC,ev
Gs-L Sc Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 PHEV,YXHP86,2026,483125,4,GS-L SC,ev
Signature Awd,ALL_WHEEL_DRIVE,MAZDA,CX-70 PHEV,YXKP86,2026,483126,4,Signature,ev
